,Type,Site,Impurity,AB,(-2/-3)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,3.4609550000000002,3.322241325001432,0.04186109909728757
1,III-V,M_i_neut,Te,BAs,2.4713849999999997,2.5618112947795058,0.030268430512855528
2,IV-IV,M_i_B,Cd,GeC,3.605579,3.4710059467231593,0.03626017167919501
3,III-V,M_i_B,Zr,BP,2.592478,2.6479815422704718,0.025079847659673662
4,III-V,M_B,Ag,GaN,4.436649,5.1783751022293485,0.10605782894032488
5,III-V,M_i_neut,Bi,BSb,1.907068,1.9930507101945545,0.05033346257417936
6,II-VI,M_B,Ca,ZnS,4.3779900000000005,4.487491641810502,0.040833636580971416
7,II-VI,M_B,V,CdO,2.699806,2.8136927500653637,0.055214384054439646
8,IV-IV,M_i_neut,S,SnC,2.86475,2.446679043589873,0.021495501497437175
9,II-VI,M_i_neut,Zr,ZnS,4.2242809999999995,4.392392463987886,0.030186947123777546
10,IV-IV,M_i_neut,Br,SnC,2.605436,2.6918906002094305,0.024535193165587804
11,II-VI,M_i_A,Ta,ZnS,4.279407,4.325138244223259,0.03565819460475391
12,IV-IV,M_i_neut,Cd,SnC,2.634871,2.5628621640801286,0.02604835197214407
13,IV-IV,M_i_B,Mg,SnC,2.5765569999999998,2.66664844220307,0.036092100567225935
14,III-V,M_i_B,Cs,InN,3.000505,2.8948469006570483,0.053880412753390526
15,IV-IV,M_i_neut,Re,GeC,3.011372,3.162690615300987,0.03688260180030825
16,II-VI,M_B,Hf,CdSe,2.4153740000000004,2.6069875441502592,0.024842115495021903
17,III-V,M_i_B,Ta,BP,2.638146,2.6187017910356567,0.028178975450227763
18,II-VI,M_i_A,Ta,CdO,2.91908,2.4521615132626033,0.03558046636577128
19,IV-IV,M_B,Nb,GeC,3.274626,3.4224483141387743,0.04757382283264313
20,II-VI,M_i_A,In,ZnO,4.321616000000001,4.151430911718851,0.027871370704430597
21,II-VI,M_A,Re,ZnO,3.7704050000000002,4.076419220352511,0.026361623468605568
22,II-VI,M_i_A,Si,CdO,1.893907,2.321400754516066,0.04402980402229802
23,IV-IV,M_i_A,Mo,GeC,3.333224,3.181880763486562,0.0388061425510192
24,IV-IV,M_A,Rb,SiC,3.1844669999999997,3.772941623140099,0.030986854184790493
25,IV-IV,M_i_A,Sn,SnC,2.559483,2.5947916462826823,0.02735666115396226
26,IV-IV,M_B,Sc,SiC,3.868843,3.8993583034963537,0.04058287672588235
27,III-V,M_i_A,S,BAs,2.188607,2.3174092637265367,0.040624166335518554
28,III-V,M_B,Zr,AlP,2.9533490000000002,2.848505658246031,0.02574706250408013
29,IV-IV,M_B,Nb,SnC,2.5642270000000003,2.656620581665113,0.03039986423131854
30,II-VI,M_i_A,Ta,CdS,3.0766430000000002,3.16706764042486,0.02954503203573809
31,II-VI,M_i_A,Y,ZnS,4.509034,4.463204319103249,0.03024439041166824
32,IV-IV,M_i_B,Ir,SiC,3.973818,3.674717333489717,0.033348348741208164
33,III-V,M_i_A,Au,BP,2.874314,2.73446787731447,0.024659644854679415
34,IV-IV,M_i_B,Ru,GeC,3.479941,3.3082964027055355,0.03656933815226793
35,IV-IV,M_i_B,Ta,SnC,2.490783,2.69771377818516,0.0399106665939296
36,IV-IV,M_i_B,Si,SnC,2.474191,2.5975234228359154,0.02686380457263665
37,II-VI,M_i_B,Ga,ZnO,4.470591000000001,4.179435553908116,0.0333350373737196
38,II-VI,M_B,Na,CdS,3.139749,3.1811225653202,0.04234234676462943
39,II-VI,M_i_A,Mo,CdS,3.275121,3.0936096834702163,0.02848764057396934
40,II-VI,M_i_neut,Pb,ZnS,3.4923319999999998,4.250902249617575,0.02715917330272548
41,IV-IV,M_B,I,SiC,3.801682,4.01081701900169,0.03743173630076894
42,II-VI,M_i_neut,La,ZnSe,3.5,3.525340403863782,0.030707901368869788
43,II-VI,M_i_A,Tc,CdO,2.695878,2.430790277118143,0.02904742440675647
44,II-VI,M_B,Zr,CdTe,2.177481,2.3180852580172013,0.015694719164704954
45,II-VI,M_B,La,CdTe,2.202244,2.351746372343511,0.026941977907336472
46,II-VI,M_B,W,CdTe,2.0971040000000003,2.068317784906142,0.014765689751568042
47,IV-IV,M_i_A,Ru,SiC,3.8202309999999997,3.6114338890044992,0.029696496312013272
48,III-V,M_i_neut,Cl,BSb,2.019062,1.8923971069161243,0.04639432571699347
49,II-VI,M_i_B,Al,ZnS,4.340814,4.347254429875032,0.030126476917313707
50,IV-IV,M_i_B,Al,GeC,3.4131519999999997,3.3611907099734863,0.029875556984538285
51,III-V,M_i_neut,Pt,BP,2.918965,2.721149832509188,0.026906942032048204
52,III-V,M_i_neut,Ag,BP,2.997694,2.7744667010510873,0.027252579871254436
53,III-V,M_i_A,Ba,GaP,2.621166,2.427111800826198,0.047002840023148376
54,II-VI,M_B,Nb,CdTe,1.998906,2.232995132515227,0.017234069546750618
55,IV-IV,M_i_A,Tc,SiC,3.682026,3.637806939417635,0.028220433809272426
56,II-VI,M_B,Y,CdTe,2.09043,2.387352950938267,0.016248359594073516
57,III-V,M_i_B,I,AlP,3.187456,3.189554357991489,0.03072026834965306
58,II-VI,M_B,Ca,CdSe,2.695773,2.8228437056800493,0.025403721916535234
59,III-V,M_i_A,Be,GaN,4.856371,4.659485320601905,0.13450223826161953
60,III-V,M_B,I,InN,2.988259,3.2914954209204366,0.08886728156202997
61,IV-IV,M_i_A,B,SiC,3.7045879999999998,3.557222415260516,0.026922389071228747
62,II-VI,M_B,Co,ZnS,3.7535489999999996,4.184987247288133,0.0302818199520002
63,III-V,M_i_A,W,BP,2.641248,2.553932719888353,0.019071389678082862
64,III-V,M_B,Ba,InP,2.188255,1.972614797080583,0.040738225728758605
65,III-V,M_B,La,GaAs,1.564614,1.5979345876153523,0.037500205728295814
66,II-VI,M_B,Si,ZnS,3.9699419999999996,4.099920949404994,0.030589260294460144
67,II-VI,M_i_B,Sn,CdO,2.9045330000000003,2.5948020615284952,0.04022078366270792
68,III-V,M_i_B,Tc,BAs,2.1060060000000003,2.293097606552126,0.034413088923647195
69,II-VI,M_B,Os,CdSe,2.322718,2.383657304710265,0.023416606837134916
70,II-VI,M_B,Mo,CdTe,2.114725,2.1497909855368285,0.019582329263017905
71,II-VI,M_B,Re,CdTe,2.20474,2.1556327175306924,0.016002768961391176
72,II-VI,M_i_A,Ba,ZnSe,3.680011,3.6782068648908366,0.027002684285317283
73,II-VI,M_B,Ti,CdTe,2.157498,2.2903157472737043,0.015294107256450643
74,II-VI,M_B,Sc,CdTe,1.952177,2.3300961766916473,0.016382808253949353
75,II-VI,M_i_A,Cl,ZnO,3.845697,3.876812158485852,0.04784589138150911
76,II-VI,M_B,Ta,CdTe,2.098002,2.1901065866955363,0.021175318654974063
77,II-VI,M_B,Ba,CdTe,2.471447,2.5004188986677987,0.015389858570673008
78,IV-IV,M_i_neut,O,GeC,3.045044,3.04924703229556,0.03732870563066614
79,II-VI,M_i_A,Sc,ZnS,4.446814,4.372727440114049,0.028930362080746994
80,II-VI,M_i_neut,Ti,ZnS,4.320391000000001,4.327756608494712,0.026439793085054977
81,IV-IV,M_B,Sb,SiC,3.979089,3.8459333567819285,0.02895127667700768
82,III-V,M_A,Hf,BAs,2.588606,2.514069921449102,0.038786546485440346
83,II-VI,M_i_neut,Cs,CdS,3.452809,3.2976786934816076,0.048586692675653624
84,IV-IV,M_i_B,C,SnC,2.589931,2.349422005730623,0.02296597075317943
