,Type,Site,Impurity,AB,(-2/-3)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,3.4609550000000002,3.3778204783056838,0.02937287226474898
1,III-V,M_i_neut,Te,BAs,2.4713849999999997,2.5627531129308516,0.021780030773986714
2,IV-IV,M_i_B,Cd,GeC,3.605579,3.4671404757423376,0.02608968642349395
3,III-V,M_i_B,Zr,BP,2.592478,2.7017064914495768,0.025261083878834224
4,III-V,M_B,Ag,GaN,4.436649,5.186890639575834,0.06232748997411655
5,III-V,M_i_neut,Bi,BSb,1.907068,1.9628913304958153,0.029443162050578273
6,II-VI,M_B,Ca,ZnS,4.3779900000000005,4.539861414760921,0.04036891260659807
7,II-VI,M_B,V,CdO,2.699806,2.7665245277259034,0.044303511871958766
8,IV-IV,M_i_neut,S,SnC,2.86475,2.461403095381967,0.01844946341708494
9,II-VI,M_i_neut,Zr,ZnS,4.2242809999999995,4.35609949212422,0.03257277782711509
10,IV-IV,M_i_neut,Br,SnC,2.605436,2.684716853290509,0.02328649689740116
11,II-VI,M_i_A,Ta,ZnS,4.279407,4.286887921177434,0.03537499771112616
12,IV-IV,M_i_neut,Cd,SnC,2.634871,2.542179363443389,0.024453798107125176
13,IV-IV,M_i_B,Mg,SnC,2.5765569999999998,2.6400277038412012,0.028535708060696212
14,III-V,M_i_B,Cs,InN,3.000505,2.854382884986379,0.05114423845347753
15,IV-IV,M_i_neut,Re,GeC,3.011372,3.2230944065476166,0.027557332392022744
16,II-VI,M_B,Hf,CdSe,2.4153740000000004,2.6407657974519347,0.02047905649071371
17,III-V,M_i_B,Ta,BP,2.638146,2.660831219743773,0.02348456093315174
18,II-VI,M_i_A,Ta,CdO,2.91908,2.444206203386672,0.0308777269910774
19,IV-IV,M_B,Nb,GeC,3.274626,3.4464038353927386,0.03926811161458115
20,II-VI,M_i_A,In,ZnO,4.321616000000001,4.119902038516028,0.03956469094219167
21,II-VI,M_A,Re,ZnO,3.7704050000000002,4.042923990472106,0.026764689850937547
22,II-VI,M_i_A,Si,CdO,1.893907,2.344225588806254,0.034679314007237366
23,IV-IV,M_i_A,Mo,GeC,3.333224,3.232241490256962,0.02959785148631435
24,IV-IV,M_A,Rb,SiC,3.1844669999999997,3.8020454929466183,0.02760812336275365
25,IV-IV,M_i_A,Sn,SnC,2.559483,2.593786573965499,0.02062994282655549
26,IV-IV,M_B,Sc,SiC,3.868843,3.8659826174290957,0.03755474316687754
27,III-V,M_i_A,S,BAs,2.188607,2.375574797114633,0.025734449704966945
28,III-V,M_B,Zr,AlP,2.9533490000000002,2.842774719473263,0.023708397274697195
29,IV-IV,M_B,Nb,SnC,2.5642270000000003,2.6357508055486085,0.027396449364298248
30,II-VI,M_i_A,Ta,CdS,3.0766430000000002,3.163130579053842,0.025136807751600307
31,II-VI,M_i_A,Y,ZnS,4.509034,4.445248841514875,0.03571185239994927
32,IV-IV,M_i_B,Ir,SiC,3.973818,3.619356506225877,0.029650233805958725
33,III-V,M_i_A,Au,BP,2.874314,2.7822330127021813,0.019714528076688675
34,IV-IV,M_i_B,Ru,GeC,3.479941,3.3325999749532995,0.0287387027200542
35,IV-IV,M_i_B,Ta,SnC,2.490783,2.6156973850025045,0.03960515632089629
36,IV-IV,M_i_B,Si,SnC,2.474191,2.573534336055048,0.019658232352684636
37,II-VI,M_i_B,Ga,ZnO,4.470591000000001,4.119374187284882,0.04470968724537175
38,II-VI,M_B,Na,CdS,3.139749,3.227228281819953,0.03562423269793545
39,II-VI,M_i_A,Mo,CdS,3.275121,3.0928484718765166,0.024149141822687632
40,II-VI,M_i_neut,Pb,ZnS,3.4923319999999998,4.26013974788682,0.026641105203041703
41,IV-IV,M_B,I,SiC,3.801682,3.9536334171326954,0.028018220178718602
42,II-VI,M_i_neut,La,ZnSe,3.5,3.537935151681629,0.02924071719388004
43,II-VI,M_i_A,Tc,CdO,2.695878,2.407988055270807,0.026334536031084706
44,II-VI,M_B,Zr,CdTe,2.177481,2.3240494339264113,0.01488912960660296
45,II-VI,M_B,La,CdTe,2.202244,2.4027180216942066,0.02079283571632008
46,II-VI,M_B,W,CdTe,2.0971040000000003,2.1232440855030204,0.013699382503055205
47,IV-IV,M_i_A,Ru,SiC,3.8202309999999997,3.5825442294528336,0.029097498417820375
48,III-V,M_i_neut,Cl,BSb,2.019062,1.9082547912603567,0.031916355494979474
49,II-VI,M_i_B,Al,ZnS,4.340814,4.31821258483247,0.03568921056195997
50,IV-IV,M_i_B,Al,GeC,3.4131519999999997,3.3915214858512828,0.023684263505470475
51,III-V,M_i_neut,Pt,BP,2.918965,2.7645328561507228,0.021621293208734654
52,III-V,M_i_neut,Ag,BP,2.997694,2.810893140279144,0.023624020191856925
53,III-V,M_i_A,Ba,GaP,2.621166,2.4981177552173897,0.04392123140572012
54,II-VI,M_B,Nb,CdTe,1.998906,2.2407455707629325,0.016642455966086007
55,IV-IV,M_i_A,Tc,SiC,3.682026,3.579946350098301,0.023837242950153624
56,II-VI,M_B,Y,CdTe,2.09043,2.4160622462083503,0.013667211336493072
57,III-V,M_i_B,I,AlP,3.187456,3.1171256350730614,0.029428699467783422
58,II-VI,M_B,Ca,CdSe,2.695773,2.8620882731783914,0.02230145928598104
59,III-V,M_i_A,Be,GaN,4.856371,4.6675960148064535,0.07703240939933881
60,III-V,M_B,I,InN,2.988259,3.261555090921045,0.06402775091471684
61,IV-IV,M_i_A,B,SiC,3.7045879999999998,3.5714011073166896,0.03079646174003643
62,II-VI,M_B,Co,ZnS,3.7535489999999996,4.220228018440728,0.03275182747447663
63,III-V,M_i_A,W,BP,2.641248,2.6065953691593218,0.020928295995172395
64,III-V,M_B,Ba,InP,2.188255,2.078014273671375,0.041353317764459045
65,III-V,M_B,La,GaAs,1.564614,1.6539707618875727,0.032909232724987074
66,II-VI,M_B,Si,ZnS,3.9699419999999996,4.147913325820269,0.03656545610206454
67,II-VI,M_i_B,Sn,CdO,2.9045330000000003,2.565230047339566,0.03456913993470875
68,III-V,M_i_B,Tc,BAs,2.1060060000000003,2.317708814917899,0.025954230181685908
69,II-VI,M_B,Os,CdSe,2.322718,2.445975639676694,0.021784262114787983
70,II-VI,M_B,Mo,CdTe,2.114725,2.170960493946038,0.01620091608386515
71,II-VI,M_B,Re,CdTe,2.20474,2.1958191492772015,0.016006854642116212
72,II-VI,M_i_A,Ba,ZnSe,3.680011,3.680751005293468,0.02213810904885087
73,II-VI,M_B,Ti,CdTe,2.157498,2.299438223709272,0.014033692091798887
74,II-VI,M_B,Sc,CdTe,1.952177,2.360611666224844,0.013863628893563145
75,II-VI,M_i_A,Cl,ZnO,3.845697,3.8869028372710326,0.05610010891104225
76,II-VI,M_B,Ta,CdTe,2.098002,2.2182548537378097,0.020235006581370674
77,II-VI,M_B,Ba,CdTe,2.471447,2.5391536849697083,0.01418552823400088
78,IV-IV,M_i_neut,O,GeC,3.045044,3.0954830004981395,0.029501793888905153
79,II-VI,M_i_A,Sc,ZnS,4.446814,4.369493179011405,0.03419489062690784
80,II-VI,M_i_neut,Ti,ZnS,4.320391000000001,4.301089500368841,0.0314504371117018
81,IV-IV,M_B,Sb,SiC,3.979089,3.8164554684202585,0.029140523583048552
82,III-V,M_A,Hf,BAs,2.588606,2.5186017899738906,0.036624492544087554
83,II-VI,M_i_neut,Cs,CdS,3.452809,3.332438529697286,0.04209760670190577
84,IV-IV,M_i_B,C,SnC,2.589931,2.3596569734578456,0.020669624472793094
85,IV-IV,M_B,Te,SnC,2.68933,2.7575245347989457,0.02566284429609892
86,IV-IV,M_i_B,F,GeC,3.4688879999999997,3.2257673469503176,0.06352955196533674
87,II-VI,M_i_neut,Cs,ZnSe,3.283547,3.5230201228489433,0.04648213602446429
88,IV-IV,M_A,Pb,SnC,2.524943,2.4067313051881345,0.03359239738835961
89,II-VI,M_i_B,Ir,CdS,2.814996,3.1714869575629825,0.023903504896510393
90,II-VI,M_i_B,Bi,ZnSe,3.141839,3.386272113199328,0.023668044884342102
91,II-VI,M_i_B,Mg,ZnS,4.560525,4.414019263714731,0.03392462049574624
92,II-VI,M_B,Sr,CdTe,2.396041,2.591333472082746,0.0164438849843637
93,II-VI,M_i_neut,Na,ZnO,4.183408,4.0688243804518205,0.04354214034511816
94,IV-IV,M_i_neut,Zn,SiC,3.73717,3.684709575355401,0.028671479327739006
95,IV-IV,M_i_B,Al,SiC,3.668305,3.702210602040357,0.02836385259811733
96,II-VI,M_B,I,ZnO,4.423181,4.345517936481263,0.05664882735720737
97,IV-IV,M_A,Rh,GeC,2.943355,3.1709001111125117,0.02707589128603276
