,Type,Site,Impurity,AB,(-1/-2)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,2.707577,2.6789094754714737,0.07423998863085086
1,III-V,M_i_neut,Te,BAs,2.062998,2.020526647372351,0.03709097483007191
2,IV-IV,M_i_B,Cd,GeC,3.164628,2.90819779323519,0.05593477344532202
3,III-V,M_i_B,Zr,BP,2.073813,2.252297776603327,0.051865940285996066
4,III-V,M_B,Ag,GaN,3.690092,4.507600597525771,0.09056891236710266
5,III-V,M_i_neut,Bi,BSb,1.6480650000000001,1.7302317048212115,0.045819719661885895
6,II-VI,M_B,Ca,ZnS,3.61211,3.568021914603288,0.05129790414657069
7,II-VI,M_B,V,CdO,2.1923880000000002,2.4813072999970887,0.05810466133877744
8,IV-IV,M_i_neut,S,SnC,2.86475,1.789851512498646,0.03760541911614628
9,II-VI,M_i_neut,Zr,ZnS,3.5415050000000003,3.8630249008812214,0.04544994070381321
10,IV-IV,M_i_neut,Br,SnC,2.036699,2.2104062190324867,0.055293811199078634
11,II-VI,M_i_A,Ta,ZnS,3.568712,3.7219894582298183,0.04195548934387347
12,IV-IV,M_i_neut,Cd,SnC,2.320754,2.294746668588201,0.043835764568994115
13,IV-IV,M_i_B,Mg,SnC,2.2532919999999996,2.3361267749658023,0.06777545746988291
14,III-V,M_i_B,Cs,InN,2.605614,2.273401967614654,0.05414863065432053
15,IV-IV,M_i_neut,Re,GeC,1.962578,2.548924282333278,0.056523239639747896
16,II-VI,M_B,Hf,CdSe,1.837506,1.930728499093832,0.039295574786149416
17,III-V,M_i_B,Ta,BP,1.9695759999999998,2.1599081513654577,0.05463712424351896
18,II-VI,M_i_A,Ta,CdO,2.586034,2.083702749553776,0.046960935742499946
19,IV-IV,M_B,Nb,GeC,2.704415,2.737295142838105,0.06644247799945138
20,II-VI,M_i_A,In,ZnO,3.6924099999999997,3.505840585642834,0.04073134686091553
21,II-VI,M_A,Re,ZnO,3.4579419999999996,3.2217744836507465,0.04812469157591126
22,II-VI,M_i_A,Si,CdO,1.893907,2.026576523234533,0.044593052803225904
