,Type,Site,Impurity,AB,(+3/+2)_DFT,train_mean,train_std
0,IV-IV,M_i_neut,Cl,GeC,-1.291456,-0.6470409278312526,0.05755546002685116
1,III-V,M_i_neut,Te,BAs,-0.577904,-0.6007774904172569,0.037795695769892494
2,IV-IV,M_i_B,Cd,GeC,-0.882713,-0.6960720086755834,0.035682694804217055
3,III-V,M_i_B,Zr,BP,0.010508,-0.22782703743808658,0.02857765709977578
4,III-V,M_B,Ag,GaN,-1.046118,-0.8358978341093067,0.06686942555965636
5,III-V,M_i_neut,Bi,BSb,0.354375,-0.39906399314267055,0.0533221082022231
6,II-VI,M_B,Ca,ZnS,0.643311,0.09493350677673104,0.05221667282171674
7,II-VI,M_B,V,CdO,-0.16153800000000001,0.11829144244670176,0.06761646158299577
8,IV-IV,M_i_neut,S,SnC,-0.39426100000000003,0.0023871262513653333,0.03588983371205325
9,II-VI,M_i_neut,Zr,ZnS,0.708436,0.3605327703907752,0.02668459292931381
10,IV-IV,M_i_neut,Br,SnC,-0.8336399999999999,-0.4767406633622701,0.05591914603075889
11,II-VI,M_i_A,Ta,ZnS,0.265477,0.23379392876492028,0.029688996094843708
12,IV-IV,M_i_neut,Cd,SnC,-0.662983,-0.5655036292080293,0.03684435297870388
13,IV-IV,M_i_B,Mg,SnC,-0.748046,-0.7086565104702488,0.04181967493947971
14,III-V,M_i_B,Cs,InN,-0.031841,-0.3688405855064878,0.04903133564248598
15,IV-IV,M_i_neut,Re,GeC,-0.666817,-0.08131480515527104,0.04216394682740213
16,II-VI,M_B,Hf,CdSe,-0.37404,0.13301475757987205,0.04184083280345668
17,III-V,M_i_B,Ta,BP,-0.342092,-0.4049953680622448,0.030993627571279717
18,II-VI,M_i_A,Ta,CdO,0.8824930000000001,0.6394337961982691,0.0547074109077474
19,IV-IV,M_B,Nb,GeC,-0.672898,-0.576835473965532,0.05123143575266351
20,II-VI,M_i_A,In,ZnO,0.23124,-0.2651655956966023,0.04802378574669122
21,II-VI,M_A,Re,ZnO,0.078172,0.20664921898255387,0.07557006800875152
22,II-VI,M_i_A,Si,CdO,1.202083,0.7915256208355201,0.04660055270946666
23,IV-IV,M_i_A,Mo,GeC,-0.252688,-0.27011480250222103,0.029015727754952158
24,IV-IV,M_A,Rb,SiC,-0.721276,-0.6548272604018355,0.04930826257309124
25,IV-IV,M_i_A,Sn,SnC,0.020709,-0.016691941605512784,0.035814289837675144
26,IV-IV,M_B,Sc,SiC,0.32782100000000003,-0.3021553138239169,0.0452556198343531
27,III-V,M_i_A,S,BAs,-0.733924,-0.5754557888968057,0.038828530451947924
28,III-V,M_B,Zr,AlP,-0.146977,-0.049560816282102474,0.033771690742371234
29,IV-IV,M_B,Nb,SnC,-0.35436799999999996,-0.4016138496885214,0.05218934406658304
30,II-VI,M_i_A,Ta,CdS,0.722341,0.38079603488516767,0.03963084700167249
31,II-VI,M_i_A,Y,ZnS,1.344544,0.37071528926693276,0.03347817689286673
32,IV-IV,M_i_B,Ir,SiC,-0.798557,-0.5279270766621451,0.030207796813333063
33,III-V,M_i_A,Au,BP,-1.09612,-1.1894866364023922,0.03376296845718476
34,IV-IV,M_i_B,Ru,GeC,-0.551838,-0.6299135960278909,0.027419389776500585
35,IV-IV,M_i_B,Ta,SnC,0.675025,0.17687936138243404,0.033648547833156434
36,IV-IV,M_i_B,Si,SnC,0.489159,0.6807805454043742,0.0651140583575932
37,II-VI,M_i_B,Ga,ZnO,0.170787,-0.2535887537826007,0.03721384266699998
