Type,AB,Site,Impurity,true val,mean,std
II-VI,CdO,M_A,Li,0,2.039568882,0.082460432
II-VI,CdO,M_A,Na,0,2.214633811,0.084596996
II-VI,CdO,M_A,K,0,2.34400868,0.098343115
II-VI,CdO,M_A,Rb,0,2.278655077,0.132240806
II-VI,CdO,M_A,Cs,0,2.407936611,0.09847563
II-VI,CdO,M_A,Be,0,1.761415177,0.135182608
II-VI,CdO,M_A,Mg,0,2.045617482,0.074947252
II-VI,CdO,M_A,Ca,0,2.253262894,0.063571172
II-VI,CdO,M_A,Sr,0,2.325115936,0.064373597
II-VI,CdO,M_A,Ba,0,2.367781333,0.063967835
II-VI,CdO,M_A,B,0,1.701223259,0.118438085
II-VI,CdO,M_A,Al,0,1.873374163,0.072094839
II-VI,CdO,M_A,Ga,0,1.918671082,0.059445473
II-VI,CdO,M_A,In,0,2.150736232,0.064523861
II-VI,CdO,M_A,Tl,0,2.233709897,0.053565928
II-VI,CdO,M_A,C,0,1.65859151,0.131754335
II-VI,CdO,M_A,Si,0,1.800749704,0.082435488
II-VI,CdO,M_A,Ge,0,1.822766488,0.065507896
II-VI,CdO,M_A,Sn,0,2.004752854,0.070749012
II-VI,CdO,M_A,Pb,0,2.174141365,0.04861426
II-VI,CdO,M_A,N,0,1.580567674,0.150003272
II-VI,CdO,M_A,P,0,1.735930049,0.093125684
II-VI,CdO,M_A,As,0,1.783069226,0.093171776
II-VI,CdO,M_A,Sb,0,1.937941334,0.089949404
II-VI,CdO,M_A,Bi,0,2.066306692,0.083969256
II-VI,CdO,M_A,O,0,1.566944856,0.140611908
II-VI,CdO,M_A,S,0,1.70808103,0.105651201
II-VI,CdO,M_A,Se,0,1.787282654,0.104579534
II-VI,CdO,M_A,Te,0,1.880428289,0.104907016
II-VI,CdO,M_A,F,0,1.603610374,0.136063653
II-VI,CdO,M_A,Cl,0,1.741181965,0.114387426
II-VI,CdO,M_A,Br,0,1.877342925,0.141014326
II-VI,CdO,M_A,I,0,1.878938898,0.093600298
II-VI,CdO,M_A,Sc,0,2.142063085,0.071855286
II-VI,CdO,M_A,Ti,0,1.950527919,0.054120944
II-VI,CdO,M_A,V,0,1.917524667,0.051423365
II-VI,CdO,M_A,Cr,0,1.930097496,0.062781902
II-VI,CdO,M_A,Mn,0,1.915605141,0.056543252
II-VI,CdO,M_A,Fe,0,1.907116115,0.068086078
II-VI,CdO,M_A,Co,0,1.896944984,0.081457503
II-VI,CdO,M_A,Ni,0,1.844355842,0.093415419
II-VI,CdO,M_A,Cu,0,1.864753879,0.086970919
II-VI,CdO,M_A,Zn,0,1.867436627,0.084551905
II-VI,CdO,M_A,Y,0,2.297632891,0.031122334
II-VI,CdO,M_A,Zr,0,2.173949563,0.036765088
II-VI,CdO,M_A,Nb,0,1.979113794,0.050389159
II-VI,CdO,M_A,Mo,0,1.929254979,0.050506002
II-VI,CdO,M_A,Tc,0,1.923592382,0.049633942
II-VI,CdO,M_A,Ru,0,1.938672354,0.05974357
II-VI,CdO,M_A,Rh,0,1.902404266,0.075429994
II-VI,CdO,M_A,Pd,0,1.911658336,0.084772513
II-VI,CdO,M_A,Ag,0,1.997290422,0.075768021
II-VI,CdO,M_A,Cd,0,2.010236256,0.05961159
II-VI,CdO,M_A,La,0,2.27919315,0.071220034
II-VI,CdO,M_A,Hf,0,2.180283052,0.034945333
II-VI,CdO,M_A,Ta,0,2.005259091,0.044735033
II-VI,CdO,M_A,W,0,1.938191718,0.052775449
II-VI,CdO,M_A,Re,0,1.935925694,0.045280866
II-VI,CdO,M_A,Os,0,1.926441886,0.050744696
II-VI,CdO,M_A,Ir,0,1.928980219,0.064060199
II-VI,CdO,M_A,Pt,0,1.915180056,0.07686181
II-VI,CdO,M_A,Au,0,1.944945507,0.063403335
II-VI,CdO,M_A,Hg,0,2.109751308,0.064166452
II-VI,CdO,M_A,Ce,0,2.346526468,0.045490073
II-VI,CdO,M_A,Pr,0,2.354311627,0.046968108
II-VI,CdO,M_A,Nd,0,2.3341842,0.041452235
II-VI,CdO,M_A,Pm,0,2.32706293,0.036811067
II-VI,CdO,M_A,Sm,0,2.307664523,0.03661653
II-VI,CdO,M_A,Eu,0,2.316386196,0.04215298
II-VI,CdO,M_A,Gd,0,2.347106123,0.045831367
II-VI,CdO,M_A,Tb,0,2.33532191,0.045290412
II-VI,CdO,M_A,Dy,0,2.30773703,0.0402372
II-VI,CdO,M_A,Ho,0,2.308110835,0.04142978
II-VI,CdO,M_A,Er,0,2.309984729,0.042591072
II-VI,CdO,M_A,Tm,0,2.295167651,0.04089564
II-VI,CdO,M_A,Yb,0,2.307504034,0.041234457
II-VI,CdO,M_A,Lu,0,2.280819445,0.029824936
II-VI,CdO,M_B,Li,0,2.355153711,0.085998313
II-VI,CdO,M_B,Na,0,2.415727798,0.096337547
II-VI,CdO,M_B,K,0,2.447253264,0.094060848
II-VI,CdO,M_B,Rb,0,2.51935508,0.109906583
II-VI,CdO,M_B,Cs,0,2.516298193,0.101633129
II-VI,CdO,M_B,Be,0,2.352573016,0.052655613
II-VI,CdO,M_B,Mg,0,2.34020506,0.047806583
II-VI,CdO,M_B,Ca,0,2.421617687,0.075959783
II-VI,CdO,M_B,Sr,0,2.503234278,0.087760924
II-VI,CdO,M_B,Ba,0,2.517227213,0.095166649
II-VI,CdO,M_B,B,0,2.333976383,0.059414859
II-VI,CdO,M_B,Al,0,2.308997979,0.044514482
II-VI,CdO,M_B,Ga,0,2.347319691,0.045441326
II-VI,CdO,M_B,In,0,2.405253191,0.045477944
II-VI,CdO,M_B,Tl,0,2.311635798,0.075579543
II-VI,CdO,M_B,C,0,2.206692508,0.045724042
